R-Strength,H-Strength,VP,Cities,Dev,Round,Winner
6,12,2,0,0,2,0
13,8,6,0,4,2,0
8,8,3,1,1,2,0
14,8,4,0,3,2,1
6,5,2,0,0,2,0
13,15,6,0,4,2,0
8,6,3,1,1,2,0
14,21,4,0,3,2,1
6,1,2,0,0,2,0
13,8,6,0,5,2,0
8,1,3,1,1,2,0
14,15,4,0,3,2,1
6,3,2,0,0,2,0
13,30,6,0,5,2,0
8,2,3,1,1,2,0
14,8,4,0,3,2,1
6,3,2,0,0,2,0
13,4,6,0,5,3,0
8,3,3,1,1,3,0
14,8,4,0,3,3,1
6,4,2,0,0,3,0
13,3,6,0,5,3,0
8,6,3,1,1,3,0
14,8,6,0,4,3,1
6,4,2,0,0,3,0
13,4,6,0,5,3,0
8,1,3,1,1,3,0
14,18,6,0,5,3,1
6,1,2,0,0,3,0
13,8,6,0,5,3,0
8,6,3,1,1,3,0
14,28,8,0,5,3,1
6,1,2,0,0,3,0
13,15,4,0,5,3,0
8,8,3,1,1,3,0
14,10,8,0,6,3,1
6,4,2,0,0,3,0
13,8,4,0,5,3,0
8,8,3,1,1,3,0
14,21,8,0,6,3,1
6,8,2,0,0,3,0
13,3,6,0,5,3,0
8,6,3,1,1,3,0
14,24,6,0,6,3,1
6,8,2,0,0,3,0
13,9,6,0,5,3,0
8,4,3,1,1,3,0
14,18,6,0,7,3,1
6,8,2,0,0,3,0
17,2,7,0,5,3,0
8,4,3,1,2,3,0
14,28,7,0,8,3,1
6,10,2,0,0,3,0
17,9,7,0,5,3,0
8,15,3,1,2,3,0
14,24,9,0,8,3,1
6,15,2,0,0,3,0
17,9,5,0,5,3,0
8,8,3,1,2,3,0
14,6,9,0,9,3,1
6,18,2,0,0,3,0
17,0,5,0,6,3,0
8,12,3,1,2,3,0
14,4,9,0,9,3,1
6,12,2,0,0,3,0
17,8,5,0,6,3,0
8,9,3,1,2,3,0
20,4,10,0,9,3,1
13,8,2,0,0,3,0
13,12,2,0,0,1,1
5,8,2,0,0,1,0
7,8,2,0,0,1,0
13,8,2,0,0,1,0
17,0,4,0,1,1,1
5,8,2,0,0,1,0
7,6,2,0,0,1,0
13,12,2,0,0,1,0
17,6,4,0,1,1,1
5,4,2,0,0,1,0
7,6,2,0,0,1,0
13,8,2,0,0,1,0
17,3,4,0,1,1,1
5,1,2,0,0,1,0
7,4,2,0,0,1,0
13,8,2,0,0,1,0
17,16,6,0,1,1,1
5,1,2,0,0,1,0
7,8,2,0,0,1,0
13,18,2,0,0,1,0
17,16,6,0,1,1,1
5,8,2,0,0,1,0
7,3,2,0,0,1,0
13,27,2,0,0,1,0
17,6,6,0,2,2,1
5,3,2,0,0,2,0
